TIME,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
88.142947846,0.0255008,0.00995745,0.00538534,0.0197002,0.0235642,0.00985886,0.00301011,0.00737696,0.00800916,0.00992613,0.0525912,0.06352
88.189387755,0.00884329,0.0054062,0.00552296,0.0198484,0.0222048,0.0080292,0.00430818,0.00359803,0.00371758,0.00560531,0.0426019,0.0431596
88.235827664,0.0115645,0.00602309,0.00775566,0.0173872,0.017288,0.00893321,0.00682851,0.0109319,0.008652,0.00566966,0.0342356,0.0360881
88.282267574,0.0244062,0.0216,0.0147457,0.0338584,0.0478406,0.0328556,0.0321879,0.0431583,0.0425505,0.0406703,0.0521215,0.0544134
88.328707483,0.0106391,0.0112698,0.011509,0.0183187,0.0209028,0.0118574,0.0133144,0.0231508,0.0247718,0.0222305,0.0304161,0.0267074
88.375147392,0.0109276,0.00788736,0.0101009,0.0193613,0.0186854,0.012131,0.0228729,0.0224856,0.0178355,0.0143076,0.0219545,0.0197243
88.421587302,0.00901711,0.00717151,0.00490921,0.00654419,0.00887487,0.0140868,0.00716857,0.00644121,0.00871361,0.00857692,0.0123522,0.0128183
88.468027211,0.0140569,0.0133288,0.0459434,0.0584137,0.022373,0.0112762,0.0104018,0.00994673,0.035227,0.141343,0.130565,0.0311036
88.514467120,0.00566665,0.00289916,0.0219259,0.0261629,0.0125586,0.00805472,0.00654926,0.00688724,0.00605225,0.0528341,0.0631349,0.0228814
88.560907029,0.00887041,0.00258162,0.0145068,0.0161497,0.0075187,0.0066366,0.00548383,0.00394504,0.00650651,0.0417876,0.0481805,0.0145941
88.607346939,0.0073501,0.00701045,0.0139916,0.0159531,0.00607674,0.00805727,0.00674984,0.00755695,0.00642574,0.0349256,0.0414073,0.0073924
88.653786848,0.0295183,0.121397,0.108709,0.0303642,0.0189855,0.0175228,0.0403793,0.0511576,0.0247943,0.0163401,0.0233638,0.0255157
88.700226757,0.0128043,0.0671755,0.0876899,0.0385469,0.0146379,0.00899734,0.0176866,0.0183895,0.0159801,0.0250911,0.0276932,0.0147233
88.746666667,0.0335888,0.059626,0.0322229,0.0431033,0.0499808,0.019179,0.0123194,0.0160062,0.0188391,0.0266572,0.113607,0.0981414
88.793106576,0.0711748,0.0574418,0.0208671,0.0190782,0.0273453,0.0121842,0.00901513,0.0144973,0.0122298,0.00838952,0.0543779,0.0253802
88.839546485,0.0275276,0.0204824,0.0151262,0.0415993,0.0510917,0.0193965,0.0140142,0.0118613,0.0103309,0.0235568,0.0886321,0.0763723
88.885986395,0.0397296,0.0193875,0.0143365,0.0251893,0.0183556,0.0187582,0.0155283,0.0235821,0.0221378,0.0335216,0.0372043,0.0585914
88.932426304,0.0226602,0.0216146,0.0190034,0.0338287,0.0454659,0.00908797,0.00705836,0.0177627,0.0155453,0.0126922,0.114111,0.101897
88.978866213,0.0647504,0.0327493,0.0190594,0.0351329,0.0212373,0.0269102,0.0315748,0.0303008,0.0326876,0.0401394,0.0470075,0.0600808
89.025306122,0.0350861,0.0541376,0.0357415,0.030466,0.0388827,0.0203783,0.0349372,0.0353373,0.0345696,0.0325274,0.114644,0.123846
89.071746032,0.0249954,0.0278791,0.0154,0.0222123,0.0296443,0.0199303,0.0175732,0.0226686,0.0145892,0.016095,0.0447888,0.0356895
89.118185941,0.00737034,0.00720079,0.00707321,0.0153625,0.0174113,0.015646,0.0303138,0.0139326,0.00512457,0.0102887,0.0273042,0.0241154
89.164625850,0.0680836,0.043442,0.050125,0.03674,0.0200039,0.0149826,0.0240187,0.0353459,0.0482545,0.0598814,0.0738822,0.0777941
89.211065760,0.0137196,0.0142811,0.0397182,0.043598,0.0183922,0.0112539,0.0118593,0.0148645,0.024611,0.10154,0.0810434,0.0201778
89.257505669,0.00614273,0.0107875,0.0187808,0.0217211,0.0131642,0.0130069,0.00959217,0.00493639,0.0164466,0.0570439,0.0443136,0.0119035
89.303945578,0.00555863,0.00494579,0.0115918,0.0130189,0.0110281,0.00865863,0.00613625,0.00804588,0.0186178,0.0438529,0.035269,0.0118265
89.350385488,0.097861,0.071567,0.0628354,0.0561227,0.0309826,0.0254489,0.030031,0.0581923,0.0720946,0.0968194,0.140998,0.116177
89.396825397,0.0130034,0.0113043,0.0279496,0.0406814,0.036265,0.0272984,0.0248913,0.0142399,0.00954945,0.0151832,0.0897232,0.080892
89.443265306,0.0356546,0.0491622,0.0281819,0.0247035,0.0278882,0.021327,0.0139995,0.00893944,0.0101324,0.00732211,0.05206,0.0470001
89.489705215,0.00974257,0.0206763,0.0130086,0.0165243,0.026761,0.0275886,0.0165901,0.00612224,0.00819472,0.00310734,0.0379389,0.0346452
89.536145125,0.134687,0.0800863,0.0499196,0.0506974,0.0413661,0.0523918,0.0637804,0.0356815,0.0367488,0.0706425,0.132139,0.160412
89.582585034,0.0052133,0.00491999,0.011274,0.0300185,0.0358615,0.0148294,0.00713731,0.00525778,0.00483882,0.0152376,0.0802293,0.0664446
89.629024943,0.0160694,0.0058613,0.0075604,0.018054,0.0222725,0.0135287,0.00652468,0.00700859,0.0120975,0.0135028,0.0533251,0.055683
89.675464853,0.0104044,0.0135011,0.00732671,0.0177715,0.0196877,0.00979903,0.00669634,0.00558135,0.0218313,0.019291,0.0448123,0.0397485
89.721904762,0.0532088,0.173499,0.20348,0.104785,0.0491709,0.049943,0.0602897,0.106463,0.0965617,0.0489653,0.0391989,0.0473856
89.768344671,0.0127708,0.0756274,0.0646847,0.0283145,0.0174202,0.0282466,0.0341388,0.0380928,0.022735,0.0257671,0.0223595,0.0286573
89.814784580,0.0968804,0.0345618,0.0305566,0.0410462,0.0532392,0.0441054,0.0295434,0.0365804,0.0565782,0.0632567,0.168571,0.20703
89.861224490,0.0228501,0.0133342,0.0121916,0.018125,0.0205306,0.0174586,0.0330106,0.0290948,0.0140175,0.0114076,0.058822,0.0583971
89.907664399,0.0807787,0.0437267,0.0322511,0.0429122,0.0632349,0.0381091,0.0323028,0.0340953,0.020517,0.0424377,0.171371,0.200196
89.954104308,0.0112264,0.00884185,0.00901213,0.0262308,0.0283096,0.0163671,0.0136886,0.00927239,0.0092348,0.0168386,0.0617717,0.0537534
90.000544218,0.0723337,0.0174834,0.011324,0.0350416,0.0598871,0.0410851,0.018566,0.0216739,0.0303949,0.0399022,0.190135,0.213279
90.046984127,0.00765608,0.0105151,0.00972112,0.0174986,0.0176382,0.0082642,0.0128498,0.0161947,0.0171138,0.0236114,0.0675038,0.0510996
90.093424036,0.168354,0.0456156,0.016065,0.0456579,0.0671464,0.0757793,0.0427145,0.0330425,0.0302677,0.0340668,0.047483,0.179402
90.139863946,0.0564087,0.0160868,0.0162019,0.0107759,0.0226304,0.0307192,0.0105516,0.0178195,0.0251229,0.029017,0.0282403,0.0767346
90.186303855,0.0444642,0.0174427,0.00840903,0.00717399,0.017543,0.0209465,0.022084,0.0237571,0.00958359,0.0136509,0.0206905,0.0533267
90.232743764,0.0326535,0.0132864,0.010644,0.00808383,0.0155354,0.0153244,0.0096927,0.0161822,0.00972896,0.00775447,0.0104312,0.040108
90.279183673,0.0646502,0.0325305,0.0125987,0.0429274,0.0595315,0.0319426,0.00962102,0.0172026,0.0317834,0.0949708,0.209303,0.161263
90.325623583,0.0201202,0.0097691,0.007302,0.0249269,0.0344154,0.0212079,0.0126237,0.0205093,0.0243993,0.0495559,0.0776685,0.0620888
90.372063492,0.0208715,0.0100526,0.00909947,0.0127832,0.0192765,0.0217494,0.01552,0.0120888,0.0106248,0.0209884,0.0549255,0.0552098
90.418503401,0.00627671,0.00907034,0.0105519,0.01469,0.0143619,0.00952303,0.0133548,0.0184513,0.0170216,0.0193725,0.0507403,0.0444583
90.464943311,0.135566,0.138437,0.0325308,0.0173879,0.0232585,0.0540584,0.0600899,0.0414581,0.0366257,0.0302524,0.0257679,0.0345084
90.511383220,0.0546955,0.0471263,0.0092745,0.0124082,0.017211,0.0251993,0.0320798,0.0226091,0.0160488,0.0171539,0.0170527,0.0166631
90.557823129,0.0497424,0.0473998,0.0168912,0.00730108,0.0117523,0.01844,0.0158309,0.0101819,0.0128073,0.018408,0.0228454,0.0232125
90.604263039,0.0426995,0.0370366,0.0111847,0.00782639,0.00837488,0.00975841,0.0155863,0.0143788,0.0125283,0.016057,0.0145209,0.0291692
90.650702948,0.0126631,0.0149737,0.0405863,0.0495915,0.0253003,0.00997853,0.0144648,0.0225559,0.0317156,0.13353,0.132784,0.0339934
90.697142857,0.00564645,0.0111576,0.0236962,0.0252239,0.0100538,0.00872417,0.00556503,0.00619905,0.0115513,0.0643214,0.0621444,0.0144117
90.743582766,0.0121207,0.0156866,0.0251367,0.0211783,0.0129673,0.00823337,0.00550948,0.00792488,0.0082755,0.0446817,0.0415251,0.0117229
90.790022676,0.094481,0.0941937,0.0937857,0.0991547,0.0881304,0.0810041,0.0758642,0.0642548,0.0619426,0.0851688,0.0739401,0.0599632
90.836462585,0.138048,0.136571,0.119026,0.10147,0.0975985,0.0868719,0.075718,0.0852523,0.0808306,0.0476721,0.0501413,0.0450276
90.882902494,0.0913634,0.0816405,0.0635547,0.0587364,0.0374995,0.0180567,0.0216529,0.0265318,0.0230565,0.0117346,0.0156269,0.0123796
90.929342404,0.0334775,0.026154,0.0209263,0.0178917,0.0127487,0.00813825,0.00435176,0.00842555,0.0122791,0.0126912,0.0072822,0.0057215
90.975782313,0.0148464,0.0135642,0.0122966,0.00738325,0.00442995,0.0066428,0.00791181,0.00867208,0.0080601,0.00740871,0.0139782,0.014023
91.022222222,0.0125945,0.00767425,0.016059,0.0158879,0.00701888,0.00955269,0.0100315,0.00847973,0.00986012,0.0128897,0.00826578,0.00885557
91.068662132,0.0173177,0.0345102,0.0389741,0.0124504,0.00829205,0.0101955,0.00836985,0.00947483,0.0136181,0.0214937,0.0223396,0.0201754
91.115102041,0.0155108,0.0193015,0.0198786,0.0144462,0.0127807,0.0115437,0.0108638,0.00900404,0.0128021,0.00784865,0.0131585,0.0100453
91.161541950,0.121384,0.137856,0.138602,0.13749,0.141687,0.144723,0.132876,0.111251,0.11129,0.106422,0.0915953,0.0803545
91.207981859,0.136974,0.130661,0.109128,0.0848447,0.0832106,0.0662559,0.0583069,0.0679461,0.0628343,0.0456592,0.0333202,0.0259175
91.254421769,0.0811781,0.0722433,0.0598021,0.0517775,0.0345325,0.0159278,0.0150569,0.0203032,0.0190372,0.0110307,0.0165107,0.0120145
91.300861678,0.0225828,0.0192138,0.0151165,0.0127518,0.00894344,0.00629008,0.00541945,0.00751863,0.00957349,0.0110018,0.0118584,0.00651688
91.347301587,0.0185442,0.013487,0.00844963,0.0111953,0.0114181,0.0153306,0.0225363,0.0236969,0.0201404,0.0122836,0.01408,0.0174349
91.393741497,0.0102564,0.0170286,0.0179123,0.0139973,0.0170157,0.0245975,0.023677,0.0174982,0.0142211,0.0135483,0.0168906,0.0147579
91.440181406,0.00443476,0.00464609,0.00336948,0.00468504,0.00312908,0.00254825,0.00286292,0.00411003,0.00348314,0.00797575,0.0060222,0.00892394
91.486621315,0.0176295,0.0204789,0.0183455,0.0159069,0.0136251,0.0112142,0.0115771,0.00975383,0.00693031,0.0114803,0.00997545,0.00922364
91.533061224,0.151242,0.189325,0.21087,0.202458,0.174591,0.183095,0.179044,0.154915,0.162126,0.179112,0.162984,0.11733
91.579501134,0.130112,0.122427,0.0972288,0.0714629,0.0664374,0.0464246,0.0425825,0.0543086,0.0520573,0.0405619,0.0256979,0.0152535
91.625941043,0.0682956,0.0577163,0.0499579,0.0436119,0.028939,0.0143733,0.0111754,0.0167033,0.0171354,0.0100059,0.0120542,0.00950473
